time,corrosion_rate_um_y,cr_outlet_ppm,recession_um
0,48.435162538651,0.519961,0
200,48.422422663896,0.63310409057024,0.00030688279630831
600,48.408931716063,0.7856126230673,0.00092047738798909
1400,48.399160008747,0.91018564006131,0.002147418853975
3000,48.394936804837,0.96695830078634,0.0046010876655367
6200,48.393924895028,0.9808392874903,0.009508322679102
12600,48.393796486525,0.98261316376532,0.019322766664505
25400,48.393788084568,0.98272949973135,0.038951651227415
51000,48.393787805255,0.98273337004663,0.07820942012665
102200,48.393787805255,0.98273337004663,0.15672495792512
204600,48.393787805255,0.98273337004663,0.31375603352206
409400,48.393787805255,0.98273337004663,0.62781818471595
819000,48.393787805255,0.98273337004663,1.2559424871037
1638200,48.393787805255,0.98273337004663,2.5121910918793
3276600,48.393787805255,0.98273337004663,5.0246883014303
6553400,48.393787805255,0.98273337004663,10.049682720533
13107000,48.393787805255,0.98273337004663,20.099671558737
26214200,48.393787805255,0.98273337004663,40.199649235146
31500000,48.393787805255,0.98273337004663,48.305458408879
